Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Anaxyrus boreas (Western Toad),ENDOSULFAN,,LC90,,NR,Tadpole,University of Pittsburgh,120,"1, 5, 10, 50, 100, 500 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),ENDOSULFAN,,LOEC,,NR,Tadpole,University of Pittsburgh,120,"1, 5, 10, 50, 100, 500 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),MERCURY (elemental),,"Liver concentration, dead-captured",,,,Pine Barrens,17,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),LEAD (elemental),,"Liver concentration, dead-captured",,,,Pine Barrens,17,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),SELENIUM (elemental),,"Liver concentration, dead-captured",,,,Pine Barrens,17,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),ARSENIC (elemental),,"Kidney concentration, dead-captured",,,,Pine Barrens,15,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),CADMIUM (elemental),,"Kidney concentration, dead-captured",,,,Pine Barrens,15,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),,,Peripheral blood leukocytes/mL blood,,M,Not Reported,Oaklahoma State University,20,"0, 0.01, 0.10, 1.0 mg/kg",TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 w,Intraperitoneal injection,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),,,Total leukocytes/spleen,,M,Not Reported,Oaklahoma State University,20,"0, 0.01, 0.10, 1.0 mg/kg",TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 w,Intraperitoneal injection,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),CARBARYL,,"Terrestrial sprint velocity, m/s",,B,Adult,"Savannah River Ecology Laboratory, University of Georgia",20,"0, 2.5, 25, 250 µg/g",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets
